Date,Description,Amount,Type
2025-09-06 14:50:14,OLA,82.03,DEBIT
2025-09-10 15:06:12,SWIGGY,603.01,DEBIT
2025-09-11 17:39:42,AMAZON,1868.89,DEBIT
2025-09-12 19:52:42,AIRTEL BROADBAND,1691.0,DEBIT
2025-09-13 09:18:48,WATER DEPT,1370.36,DEBIT
2025-09-13 10:18:50,ELECTRICITY BOARD,939.79,DEBIT
2025-09-18 09:19:13,DMART,1166.54,DEBIT
2025-09-19 17:22:08,STARBUCKS,492.31,DEBIT
2025-09-21 16:39:04,FLIPKART,1315.97,DEBIT
2025-09-22 18:00:35,DMART,1641.77,DEBIT
2025-09-22 22:29:28,UBER,387.85,DEBIT
2025-09-23 18:51:20,OLA,325.35,DEBIT
2025-09-24 15:53:23,IRCTC,349.15,DEBIT
2025-09-24 18:13:26,STARBUCKS,742.13,DEBIT
2025-09-25 10:11:41,OLA,208.3,DEBIT
2025-09-27 10:11:42,STARBUCKS,351.65,DEBIT
2025-09-28 12:11:14,STARBUCKS,507.53,DEBIT
2025-09-28 21:41:35,STARBUCKS,232.63,DEBIT
2025-10-01 09:53:17,SALARY CREDIT,50131.05,CREDIT
2025-10-02 11:03:10,IRCTC,454.14,DEBIT
2025-10-03 11:57:34,RENT PAYMENT,21871.16,DEBIT
2025-10-05 12:08:40,UBER,320.86,DEBIT
2025-10-06 20:01:15,IRCTC,351.85,DEBIT
2025-10-07 12:23:38,MYNTRA,1130.53,DEBIT
2025-10-08 12:48:32,ZEPTO,1587.17,DEBIT
2025-10-08 18:52:55,ZOMATO,509.82,DEBIT
2025-10-12 09:33:16,ZOMATO,552.61,DEBIT
2025-10-12 13:33:58,DMART,727.63,DEBIT
2025-10-12 22:14:04,DMART,456.59,DEBIT
2025-10-13 16:08:29,DMART,712.63,DEBIT
2025-10-13 21:56:02,ZOMATO,481.8,DEBIT
2025-10-14 09:46:04,ELECTRICITY BOARD,959.78,DEBIT
2025-10-15 07:52:37,WATER DEPT,1414.27,DEBIT
2025-10-15 09:32:41,AMAZON,1164.33,DEBIT
2025-10-15 11:47:46,BIGBASKET,622.91,DEBIT
2025-10-15 13:58:02,AIRTEL BROADBAND,1602.91,DEBIT
2025-10-16 07:32:56,ZOMATO,675.59,DEBIT
2025-10-17 18:32:00,ZEPTO,526.78,DEBIT
2025-10-19 12:24:41,ZOMATO,526.61,DEBIT
2025-10-21 15:53:47,SWIGGY,394.44,DEBIT
2025-10-24 22:30:13,MYNTRA,1049.35,DEBIT
2025-10-27 14:26:51,FLIPKART,1060.33,DEBIT
2025-11-01 15:59:11,SALARY CREDIT,50131.05,CREDIT
2025-11-03 19:38:36,RENT PAYMENT,21871.16,DEBIT
2025-11-05 13:33:55,DMART,552.0,DEBIT
2025-11-11 09:14:24,ZEPTO,1691.29,DEBIT
2025-11-12 10:27:08,ZOMATO,553.43,DEBIT
2025-11-12 22:10:14,WATER DEPT,1319.96,DEBIT
2025-11-13 11:50:37,AIRTEL BROADBAND,1666.6,DEBIT
2025-11-14 07:45:47,FLIPKART,1367.17,DEBIT
2025-11-14 15:16:54,UBER,353.66,DEBIT
2025-11-14 15:43:25,IRCTC,317.16,DEBIT
2025-11-14 16:05:13,ELECTRICITY BOARD,1030.99,DEBIT
2025-11-14 22:11:23,UBER,311.88,DEBIT
2025-11-16 08:56:50,BIGBASKET,1662.25,DEBIT
2025-11-16 09:18:38,ZOMATO,659.52,DEBIT
2025-11-17 09:30:42,ZEPTO,1453.34,DEBIT
2025-11-18 16:36:22,IRCTC,283.18,DEBIT
2025-11-19 07:24:41,AMAZON,1949.59,DEBIT
2025-11-20 07:57:49,SWIGGY,523.57,DEBIT
2025-11-21 20:23:55,STARBUCKS,458.9,DEBIT
2025-11-22 11:38:06,ZEPTO,987.71,DEBIT
2025-11-23 14:51:30,SWIGGY,517.89,DEBIT
2025-11-23 20:23:06,UBER,417.8,DEBIT
2025-12-01 19:47:08,SALARY CREDIT,50131.05,CREDIT
2025-12-02 07:10:05,STARBUCKS,415.84,DEBIT
2025-12-03 10:47:14,RENT PAYMENT,21871.16,DEBIT
2025-12-08 13:29:59,OLA,334.67,DEBIT
2025-12-10 18:22:52,IRCTC,384.98,DEBIT
2025-12-14 08:10:24,AIRTEL BROADBAND,1611.81,DEBIT
2025-12-14 12:06:13,ELECTRICITY BOARD,1000.16,DEBIT
2025-12-14 15:14:23,ZEPTO,523.4,DEBIT
2025-12-15 17:51:35,WATER DEPT,1332.56,DEBIT
2025-12-17 09:58:05,AMAZON,833.81,DEBIT
2025-12-17 14:39:10,STARBUCKS,509.49,DEBIT
2025-12-18 16:21:07,UBER,110.4,DEBIT
2025-12-19 12:26:32,OLA,81.95,DEBIT
2025-12-20 19:59:25,BIGBASKET,452.86,DEBIT
2025-12-21 07:12:54,BIGBASKET,1092.12,DEBIT
2025-12-21 08:49:52,ZEPTO,1129.41,DEBIT
2025-12-25 19:25:37,MYNTRA,1678.75,DEBIT
2025-12-26 13:02:50,STARBUCKS,510.89,DEBIT
2026-01-01 15:56:34,SALARY CREDIT,50131.05,CREDIT
2026-01-02 18:39:20,STARBUCKS,708.81,DEBIT
2026-01-03 15:44:28,RENT PAYMENT,21871.16,DEBIT
2026-01-04 22:39:00,SWIGGY,752.11,DEBIT
2026-01-06 13:31:47,DMART,1725.97,DEBIT
2026-01-06 14:17:30,OLA,310.4,DEBIT
2026-01-08 15:13:14,BIGBASKET,1429.6,DEBIT
2026-01-09 11:03:33,FLIPKART,1675.33,DEBIT
2026-01-11 22:27:13,IRCTC,233.69,DEBIT
2026-01-13 17:04:35,BIGBASKET,1343.18,DEBIT
2026-01-13 17:23:39,UBER,324.02,DEBIT
2026-01-13 22:49:15,ELECTRICITY BOARD,1084.0,DEBIT
2026-01-15 07:30:07,AIRTEL BROADBAND,1683.36,DEBIT
2026-01-15 21:43:29,WATER DEPT,1385.6,DEBIT
2026-01-16 08:32:22,MYNTRA,2867.24,DEBIT
2026-01-16 13:57:36,BIGBASKET,839.42,DEBIT
2026-01-17 07:00:43,IRCTC,273.23,DEBIT
2026-01-18 15:15:18,ZEPTO,413.61,DEBIT
2026-01-19 22:11:48,MYNTRA,2711.29,DEBIT
2026-01-22 17:26:22,BIGBASKET,1381.65,DEBIT
2026-01-27 18:09:49,SWIGGY,349.82,DEBIT
2026-01-28 12:29:07,OLA,368.26,DEBIT
2026-02-01 20:44:48,SALARY CREDIT,50131.05,CREDIT
2026-02-03 18:23:54,RENT PAYMENT,21871.16,DEBIT
2026-02-04 13:36:36,DMART,891.53,DEBIT
2026-02-04 17:16:23,ZEPTO,1029.8,DEBIT
2026-02-04 22:35:03,UBER,106.79,DEBIT
2026-02-06 15:30:53,ZEPTO,484.05,DEBIT
2026-02-08 16:45:17,MYNTRA,1489.66,DEBIT
2026-02-09 08:25:06,DMART,1186.99,DEBIT
2026-02-12 12:36:08,ELECTRICITY BOARD,992.74,DEBIT
2026-02-13 09:05:10,FLIPKART,2667.58,DEBIT
2026-02-14 14:52:06,WATER DEPT,1432.83,DEBIT
2026-02-15 14:35:27,AIRTEL BROADBAND,1638.86,DEBIT
2026-02-16 12:26:31,BIGBASKET,1527.94,DEBIT
2026-02-17 21:56:05,STARBUCKS,492.5,DEBIT
2026-02-18 15:22:01,DMART,1180.49,DEBIT
2026-02-20 11:55:10,ZOMATO,371.91,DEBIT
2026-02-21 16:22:20,STARBUCKS,523.06,DEBIT
2026-02-21 21:49:55,IRCTC,246.09,DEBIT
2026-02-23 13:10:25,IRCTC,394.89,DEBIT
2026-02-24 21:26:10,OLA,326.51,DEBIT
2026-02-26 20:40:39,STARBUCKS,757.14,DEBIT
2026-02-28 14:42:16,UBER,89.7,DEBIT
2026-02-28 17:50:31,BIGBASKET,1282.91,DEBIT
2026-03-01 07:49:25,SALARY CREDIT,50131.05,CREDIT
2026-03-03 09:06:16,RENT PAYMENT,21871.16,DEBIT
2026-03-03 22:13:21,UBER,143.29,DEBIT
2026-03-05 07:11:06,UBER,100.85,DEBIT
2026-03-05 07:33:52,DMART,825.0,DEBIT
2026-03-06 10:40:29,AMAZON,1100.57,DEBIT
2026-03-09 11:44:34,ZEPTO,1167.96,DEBIT
2026-03-09 14:33:48,SWIGGY,247.53,DEBIT
2026-03-09 19:19:14,ELECTRICITY BOARD,1027.84,DEBIT
2026-03-09 21:46:00,OLA,132.52,DEBIT
2026-03-11 21:40:08,WATER DEPT,1276.99,DEBIT
2026-03-12 07:44:59,BIGBASKET,801.47,DEBIT
2026-03-14 20:25:15,SWIGGY,729.3,DEBIT
2026-03-15 12:01:02,AIRTEL BROADBAND,1489.54,DEBIT
2026-03-15 22:12:20,IRCTC,194.3,DEBIT
2026-03-18 18:30:34,ZEPTO,833.53,DEBIT
2026-03-18 20:12:54,FLIPKART,2579.38,DEBIT
2026-03-19 20:33:40,BIGBASKET,1236.62,DEBIT
2026-03-20 07:35:23,ZOMATO,338.73,DEBIT
2026-03-23 19:53:24,SWIGGY,642.27,DEBIT
2026-03-25 07:49:27,ZOMATO,486.24,DEBIT
2026-03-26 15:18:41,FLIPKART,2326.63,DEBIT
2026-03-26 16:23:26,BIGBASKET,525.38,DEBIT
2026-04-01 20:19:50,SALARY CREDIT,50131.05,CREDIT
2026-04-01 22:44:38,SWIGGY,781.3,DEBIT
2026-04-03 22:23:29,RENT PAYMENT,21871.16,DEBIT
2026-04-04 20:20:00,BIGBASKET,730.35,DEBIT
2026-04-05 10:08:31,STARBUCKS,620.8,DEBIT
2026-04-07 10:33:42,BIGBASKET,1045.17,DEBIT
2026-04-08 21:15:47,ZEPTO,938.72,DEBIT
2026-04-09 17:05:53,ELECTRICITY BOARD,1040.57,DEBIT
2026-04-09 22:45:28,AMAZON,2777.06,DEBIT
2026-04-10 08:17:49,WATER DEPT,1384.13,DEBIT
2026-04-10 08:55:42,ZEPTO,678.21,DEBIT
2026-04-10 22:12:36,IRCTC,307.95,DEBIT
2026-04-11 18:51:57,SWIGGY,789.01,DEBIT
2026-04-12 14:10:31,SWIGGY,662.48,DEBIT
2026-04-13 22:11:12,AIRTEL BROADBAND,1555.68,DEBIT
2026-04-16 16:59:20,BIGBASKET,944.77,DEBIT
2026-04-18 21:17:55,UBER,226.02,DEBIT
2026-04-21 10:16:30,BIGBASKET,1419.53,DEBIT
2026-04-22 08:03:22,SWIGGY,571.19,DEBIT
2026-04-24 19:22:46,MYNTRA,1224.52,DEBIT
2026-04-26 10:25:50,SWIGGY,365.66,DEBIT
2026-04-28 09:33:09,IRCTC,312.9,DEBIT
2026-05-01 21:18:52,SALARY CREDIT,50131.05,CREDIT
2026-05-02 15:33:02,STARBUCKS,694.19,DEBIT
2026-05-02 20:52:23,STARBUCKS,416.56,DEBIT
2026-05-03 09:13:33,STARBUCKS,700.67,DEBIT
2026-05-03 15:34:23,RENT PAYMENT,21871.16,DEBIT
2026-05-04 19:12:12,SWIGGY,635.1,DEBIT
2026-05-04 19:42:31,BIGBASKET,444.54,DEBIT
2026-05-06 13:06:31,BIGBASKET,1622.89,DEBIT
2026-05-11 09:02:53,ZEPTO,554.65,DEBIT
2026-05-11 20:48:40,IRCTC,434.84,DEBIT
2026-05-13 08:18:38,OLA,80.08,DEBIT
2026-05-13 15:23:28,UBER,401.6,DEBIT
2026-05-13 18:49:39,WATER DEPT,1412.32,DEBIT
2026-05-14 09:42:34,AIRTEL BROADBAND,1516.77,DEBIT
2026-05-14 18:43:29,FLIPKART,3290.82,DEBIT
2026-05-15 19:46:11,ELECTRICITY BOARD,1001.37,DEBIT
2026-05-18 17:42:10,AMAZON,2269.1,DEBIT
2026-05-20 07:59:58,BIGBASKET,1404.98,DEBIT
2026-05-20 15:03:23,ZEPTO,1381.84,DEBIT
2026-05-20 18:57:20,IRCTC,266.07,DEBIT
2026-05-21 09:29:51,BIGBASKET,1087.97,DEBIT
2026-05-22 10:10:50,FLIPKART,2344.76,DEBIT
2026-05-22 12:35:47,FLIPKART,1816.0,DEBIT
2026-05-25 16:20:26,DMART,1172.05,DEBIT
2026-05-27 14:36:34,OLA,384.86,DEBIT
2026-06-01 07:33:08,SALARY CREDIT,50131.05,CREDIT
2026-06-02 15:05:25,FLIPKART,2703.81,DEBIT
2026-06-02 19:05:49,DMART,1423.11,DEBIT
2026-06-03 13:46:04,DMART,1198.68,DEBIT
2026-06-03 16:00:19,RENT PAYMENT,21871.16,DEBIT
2026-06-05 09:30:36,ZOMATO,279.31,DEBIT
2026-06-05 14:09:03,STARBUCKS,396.1,DEBIT
2026-06-10 17:01:49,ELECTRICITY BOARD,1086.96,DEBIT
2026-06-11 12:31:52,ZEPTO,1510.07,DEBIT
2026-06-12 14:14:16,DMART,1645.48,DEBIT
2026-06-13 08:20:34,STARBUCKS,232.48,DEBIT
2026-06-13 11:06:02,AIRTEL BROADBAND,1585.78,DEBIT
2026-06-14 11:48:08,FLIPKART,3373.02,DEBIT
2026-06-14 15:58:35,WATER DEPT,1399.33,DEBIT
2026-06-17 20:18:50,STARBUCKS,254.05,DEBIT
2026-06-18 14:15:04,UBER,338.72,DEBIT
2026-06-18 19:41:36,OLA,163.21,DEBIT
2026-06-23 10:38:41,ZEPTO,1206.73,DEBIT
2026-06-24 21:48:38,STARBUCKS,798.42,DEBIT
2026-06-25 09:07:42,OLA,260.63,DEBIT
2026-06-25 20:26:59,BIGBASKET,868.15,DEBIT
2026-06-28 07:40:49,BIGBASKET,1478.55,DEBIT
